130,152,131,03.02.36.880837
130,152,131,03.02.36.887299
131,152,131,03.02.36.893778
131,152,131,03.02.36.898048
131,152,131,03.02.36.905364
131,152,131,03.02.36.910909
131,152,131,03.02.36.916379
131,152,131,03.02.36.922375
131,152,131,03.02.36.927371
131,152,131,03.02.36.933167
132,152,131,03.02.36.938177
131,152,131,03.02.36.944166
131,152,131,03.02.36.950087
131,152,130,03.02.36.955161
131,152,130,03.02.36.960049
131,152,130,03.02.36.965961
131,152,131,03.02.36.971113
131,151,131,03.02.36.976589
131,151,130,03.02.36.981198
131,151,131,03.02.36.986476
131,151,131,03.02.36.991694
131,152,131,03.02.36.996047
131,152,131,03.02.37.002705
131,152,131,03.02.37.099101
131,152,131,03.02.37.105097
131,152,131,03.02.37.111077
132,152,131,03.02.37.116945
132,152,131,03.02.37.121788
132,152,131,03.02.37.126787
132,152,131,03.02.37.133152
132,152,131,03.02.37.137883
132,152,131,03.02.37.142880
132,152,131,03.02.37.148767
132,152,131,03.02.37.158163
132,152,130,03.02.37.163674
131,152,130,03.02.37.169663
131,152,130,03.02.37.174696
132,151,130,03.02.37.179692
131,151,130,03.02.37.184930
131,151,130,03.02.37.190186
132,151,130,03.02.37.195030
132,151,130,03.02.37.199999
132,151,131,03.02.37.205699
132,151,131,03.02.37.323782
133,150,131,03.02.37.338773
133,150,131,03.02.37.344766
133,150,131,03.02.37.351218
133,150,131,03.02.37.356558
133,150,131,03.02.37.361455
134,151,131,03.02.37.371541
133,151,131,03.02.37.377271
134,151,131,03.02.37.382634
134,151,131,03.02.37.387643
133,151,131,03.02.37.393118
134,152,131,03.02.37.397464
134,152,131,03.02.37.402629
133,152,131,03.02.37.408422
133,152,130,03.02.37.413365
133,153,130,03.02.37.418216
133,153,130,03.02.37.423479
133,153,130,03.02.37.427869
133,153,130,03.02.37.432455
133,154,130,03.02.37.438441
133,154,130,03.02.37.443111
133,154,130,03.02.37.447109
132,153,131,03.02.37.453899
131,153,131,03.02.37.458057
130,153,131,03.02.37.463054
130,152,131,03.02.37.469500
129,151,131,03.02.37.473498
128,151,132,03.02.37.528590
127,153,132,03.02.37.534586
124,151,132,03.02.37.539585
119,153,132,03.02.37.544582
113,155,129,03.02.37.550578
106,157,127,03.02.37.559060
99,161,122,03.02.37.565057
89,164,116,03.02.37.570053
80,168,107,03.02.37.575050
68,172,101,03.02.37.581044
59,177,98,03.02.37.587041
55,179,95,03.02.37.635377
55,172,91,03.02.37.640374
57,163,91,03.02.37.645383
59,152,91,03.02.37.651174
61,139,95,03.02.37.657649
71,124,101,03.02.37.662647
89,107,105,03.02.37.667643
127,95,110,03.02.37.673435
172,91,117,03.02.37.677858
214,101,131,03.02.37.684338
246,130,146,03.02.37.750676
252,148,162,03.02.37.755673
253,161,176,03.02.37.761669
253,172,179,03.02.37.768665
253,178,172,03.02.37.774157
236,170,155,03.02.37.780900
205,158,143,03.02.37.791656
175,144,128,03.02.37.796656
152,143,119,03.02.37.802648
138,142,111,03.02.37.808051
131,143,107,03.02.37.813661
126,147,105,03.02.37.818879
121,151,107,03.02.37.824618
117,153,111,03.02.37.830540
114,155,115,03.02.37.836635
112,155,117,03.02.37.864167
111,156,119,03.02.37.869457
111,157,119,03.02.37.876158
111,158,120,03.02.37.880919
113,158,121,03.02.37.886094
115,156,122,03.02.37.970401
118,155,124,03.02.37.975637
120,154,125,03.02.37.980824
121,153,126,03.02.37.986625
121,153,126,03.02.37.991470
121,153,126,03.02.37.996806
122,153,126,03.02.38.001804
123,155,125,03.02.38.007673
124,156,125,03.02.38.011978
125,156,125,03.02.38.018371
127,157,124,03.02.38.023543
128,157,124,03.02.38.028034
127,156,125,03.02.38.034289
127,156,125,03.02.38.039407
126,154,125,03.02.38.045097
125,154,125,03.02.38.050958
125,153,126,03.02.38.055948
124,153,126,03.02.38.080212
125,152,126,03.02.38.085209
125,152,127,03.02.38.090205
125,151,127,03.02.38.095203
125,151,126,03.02.38.191768
125,151,126,03.02.38.201828
125,151,126,03.02.38.210823
126,152,126,03.02.38.216815
127,152,126,03.02.38.220813
128,152,127,03.02.38.225810
129,152,128,03.02.38.231806
129,152,128,03.02.38.235804
130,153,128,03.02.38.240801
130,153,128,03.02.38.245797
130,153,128,03.02.38.250794
130,153,128,03.02.38.255791
130,153,128,03.02.38.260788
130,153,128,03.02.38.265785
130,154,128,03.02.38.269782
131,154,129,03.02.38.274779
131,154,129,03.02.38.280161
131,154,129,03.02.38.285157
131,154,129,03.02.38.290154
131,153,129,03.02.38.295150
131,153,129,03.02.38.415247
131,152,129,03.02.38.423244
131,152,128,03.02.38.428810
131,152,128,03.02.38.433774
131,151,128,03.02.38.440343
131,151,127,03.02.38.445631
130,151,127,03.02.38.450248
130,151,127,03.02.38.455999
130,151,127,03.02.38.460243
130,151,126,03.02.38.465351
131,151,126,03.02.38.472094
131,151,127,03.02.38.476905
131,151,127,03.02.38.481236
131,152,127,03.02.38.487022
132,152,127,03.02.38.491347
132,153,127,03.02.38.496536
132,153,127,03.02.38.501539
132,153,127,03.02.38.506470
131,153,127,03.02.38.511307
131,153,127,03.02.38.516868
131,153,127,03.02.38.521213
131,153,127,03.02.38.526210
131,153,126,03.02.38.532207
131,153,126,03.02.38.537203
131,152,126,03.02.38.629315
131,152,126,03.02.38.639616
130,152,126,03.02.38.650615
130,152,127,03.02.38.660609
130,152,127,03.02.38.666601
131,152,127,03.02.38.671596
131,153,128,03.02.38.676696
131,153,128,03.02.38.682430
131,153,127,03.02.38.687664
131,153,127,03.02.38.692508
131,153,127,03.02.38.697273
131,153,127,03.02.38.703408
131,153,127,03.02.38.708606
131,153,127,03.02.38.714147
132,153,127,03.02.38.719504
132,153,127,03.02.38.724886
132,152,127,03.02.38.731143
132,152,127,03.02.38.736581
132,152,127,03.02.38.741649
131,152,127,03.02.38.746849
131,151,128,03.02.38.752847
131,151,128,03.02.38.757843
